Agaran	NOMpro	agaran|agarans
agâtir	VERppe	agastie
âge	NOMcom	aage|aages|aaige|aaiges|age|eage|edage|edet
âgé	ADJqua	aagez
Agen	NOMpro	agen
Agenais	NOMpro	agenois|agenoiz
agencir	VERcjg	agencist
Agénor	NOMpro	agenor
agenouiller	VERcjg	agenoilla|agenoille|agenoillent|agenoillera|agenoillierent|agenuilla
agenouiller	VERppe	agenoilliee|agenoilliees|agenoilliez|agenoillié
agenouiller	VERinf	agenoillier
aggravement	NOMcom	aggravement
aggraver	VERppe	aggravee|aggravez|agravét|agrevee
Agloval	NOMpro	agloval
agneau	NOMcom	agneaulx|agnels|aignel|aignels|aigniax|aingniax|anels|annel
agnelet	NOMcom	aignelet
Agni	NOMpro	agni
ago	ETR	actum
agout	NOMcom	agoutz|aigoux
agréable	ADJqua	aggreable|agreable|agreables
agréer	VERcjg	agrea|agree
agréger	VERcjg	agreget
Agrevain	NOMpro	agravains|agrevains
agüesse	NOMcom	aguece
aguet	NOMcom	agais|agait|agays|aguait|aguaitz|agueit|aguet|aguetz|aguez
aguetter	VERcjg	agaite|aguaita|agueit|agueite|agueites
aguetter	VERppe	agaitiez|agueitiee|agueitié
Aguisel	NOMpro	aguiflez|auguissel
ah	INJ	a|ha
ahan	NOMcom	aanz|afanz|affanz|ahan|ahans|ahanz
ahaner	VERcjg	ahane
ahanible	ADJqua	ahaniule
ahériter	VERinf	aïreter
ahériter	VERppe	aïretee|aïreté
aï	INJ	ahi
äi!	INJ	ahi
aidance	NOMcom	aïdance
aide	NOMcom	aide|aides|aiude|aiue|aiues|aiüe|ayde|aydes|aïe|haide
aider	VERcjg	adiue|aida|aidaissent|aidasse|aidassent|aidast|aidastes|aide|aident|aidera|aiderai|aidereiz|aiderez|aideroient|aideroit|aideront|aides|aidez|aidiez|aidissiez|aidiéz|aidoient|aidoit|aiez|aiud|aiude|aiues|aiuet|aiut|ajudent|ayde|ayderay|ayderons|aydoit|aïde|aïe|aïst|aït|eidast|eidera|eideras|eideroit|eiderons|eidons|est
aider	VERinf	aider|aidier|ayder|eidier|haidier
aider	VERppe	aidiees|aidiet|aidié|aidé|aydé
aider	VERppa	aidans
aideur	NOMcom	aidieres
aïe	INJ	ai
aïe	NOMcom	aïde|aïdes|aïe
äie!	NOMcom	aïe
äie!	INJ	aïe
aïeul	NOMcom	aiex|aiol|aiole|aiouz|ayel
aigle	NOMcom	aigle|aigles|egle
Aignan	NOMpro	aigniens
aigre	ADJqua	aigre|aigres|egre
aigre	VERcjg	agre
aigrement	ADVgen	aigrement
aigu	ADJqua	agu|ague|agut|aguz|agüe
aigue	NOMcom	aigue|aigues|aive|eve|eves
aigüesse	NOMcom	aguesse
aiguille	NOMcom	aguille
aiguillette	NOMcom	esguillette
aiguillon	NOMcom	aguilhon|aguilhons|aguillons|aguillun
aiguillonner	VERppe	aguillonné
aiguillonner	VERinf	aguillonner
aiguiser	VERppe	aguisié|aguisiés|aguissié
aiguiser	VERcjg	aguise|aguisent|aguiserai|aguisse
aiguiser	NOMcom	aguisse
ail	NOMcom	ail
aile	NOMcom	eiles|eles
ailer	VERcjg	alerrent
ailleurs	ADVgen	ailleurs|aillors|aillurs|ailurs
Ailly	NOMpro	ailly
aimant	NOMcom	aymant
aimer	VERppe	amee|amees|ameiz|amet|amez|amé|amés|amét|améz|aymez|aymé|enmee|tresaymé
aimer	VERcjg	aim|aima|aime|aiment|aimet|aimme|ain|ainma|ainme|ainment|ainmoit|aint|ama|amai|amasse|amassent|amast|amat|ameiez|ameint|amera|amerai|ameras|amerat|amerent|ameroie|ameroit|ameront|amerunt|amessiez|ameuet|amez|amissiez|amissiés|amoie|amoient|amoies|amoit|amoiz|amot|amés|améz|ayme|ayment|aymera|aymeroys|aymez|aymoient|aymoit|eimet
aimer	VERinf	ameir|amer
aimer	VERppa	amant|amanz
Aimery	NOMpro	aymeri
aimeur	NOMcom	ameor
ainc	ADVgen	ainc|ainques|anc|hanc|hunc
ainçois	ADVgen	ainchois|ainçois|ainçoiz|anceis|anchois|anciés|anzois|ançois|einçois|einçoiz|enceis|ençois
ainçois	PRE	ainçois|ançois
ainçois	ADJqua	anciex
aine	NOMcom	ennes
aîné	ADJqua	ainsné|ainsnés|ainznee|ainznez|aisnee|aisné
aîné	NOMcom	ainsnees|ainznez|ainzné|aisnés|ennee
aînesse	NOMcom	ainsneesce
ains	ADVgen	ainc|ains|ainz|anc|anz|einz
ains	PRE	ainz|anz|einz
ainsi	ADVgen	ainsi|ainsint|ainssi|ainssint|ainsy|ainxi|ausint|einsi|einsint|eisi|eissi|ensi|ensinques|ensins
ainz	PRE	ainz|einz
air	NOMcom	aer|air|airs
aïr	NOMcom	aïr
airain	NOMcom	arain
aire	NOMcom	aire|eire|eires|erre
aïré	ADJqua	aireiz
aïrer	VERcjg	aïre|aïrié
aïrer	VERppe	aïré
aïreux	ADJqua	aïrus
ais	NOMcom	ais|eis|es
aise	NOMcom	aise|aises|aisse|aize|ayse|eise|eises|eisse
aise	ADJqua	aaise|aises|aize
aisé	ADJqua	aaisié|aisié|aisé|aysié
aisement	NOMcom	aeisemant
aisément	ADVgen	ayséement|aysément
aiser	VERppe	aisié|aisé|aizee
aisiement	ADVgen	aysiemant
aisselle	NOMcom	eissele|essele
aître	NOMcom	aitres
Aix	NOMpro	ais|eis
ajeter	VERcjg	agiet
ajostee	NOMcom	ajustee
ajournée	NOMcom	ajurnee
ajournement	NOMcom	adjournemens
ajourner	VERppe	ajornez|ajorné|ajornés|ajurnez
ajourner	VERinf	adjourner|ajorner
ajourner	VERcjg	aiorneuet|ajorna|ajorne
ajouter	VERcjg	adjouste|aiostat|ajoste|ajousta|ajouste|ajousterai|ajusterent|ajustet
ajouter	VERppe	adjousté|adjouxté|ajoster|ajosté|ajustee|ajustez
ajouter	VERinf	adjouster|aiosteir|ajouster
ajouter	VERppa	ajustant
ajuster	VERppe	ajustet|ajusté
Alain	NOMpro	alain|alein
alaisier	VERppe	alaisie|alaisiez|alaschiez
alarme	NOMcom	alarme|alarmes
alarme	INJ	alarme
alaschier	VERcjg	alascet
alasser	VERcjg	alasserent
Albret	NOMpro	albret
alchimie	NOMcom	arquemie
Aldebert	NOMpro	aldeberd|aldebert
Aleaume	NOMpro	al.|aleaume
Alebret	NOMpro	allebret
Alemaigne	NOMpro	alemaigne|alemaingne
Aleman	NOMpro	alemant
Alemant	NOMpro	alemant
Alemant	NOMcom	alemant
Alençon	NOMpro	alençon
alérion	NOMcom	alerions
alever	VERppe	alevee
alever	VERinf	alever
alever	VERcjg	alieve
Alexandre	NOMpro	alixandre|alixandres
Alexandrie	NOMpro	alexandrie|alixandre
alexandrin	ADJqua	alexandrin|alixandrin
Alexis	NOMpro	alecxi|alexci|alexcxi|alexi|alexis|aleïs
algier	NOMcom	agiez|algeir|algier
alicier	VERcjg	alissiez
Aliduc	NOMpro	aliduc
alie	NOMcom	alue
alien	ADJqua	alïenes
aliénation	NOMcom	alienacions
aliéner	VERppe	aliené|alienées
Alier	NOMpro	aliers
Alifatima	NOMpro	alifatin
Alis	NOMpro	alis|alys
allaiter	VERppa	alaitanz|aleitant|aleitanz
allection	NOMcom	alection
allée	NOMcom	alee|allées
allégeance	NOMcom	alejance
allégement	NOMcom	alegemant|alegemens|alegement
alléger	VERppe	alegie|alegiee|alegiez|alegié
alléger	VERcjg	alege|aliege
allègre	ADJqua	halegre|haliegre
alléguer	VERcjg	allegua|alleguent|alleguoyent
alléguer	VERppe	aleguié|alleguie|alleguée
Allemagne	NOMpro	alemaigne|allemaigne|allemaignes|almaigne
Allemand	NOMpro	aleman|alemans
aller	VERcjg	aille|aillent|ailles|ailliez|ailliéz|ailloiz|aillons|ala|alad|alai|alaist|alas|alasmes|alasse|alassent|alasses|alast|alastes|alat|aled|aleiez|aleit|aleiz|alerent|alererit|alesiez|alessiens|alessient|alessunt|aleuet|alez|alge|algent|alges|alget|algez|aliens|alions|alissiés|alla|allasmes|allasse|allassent|allast|allerent|allez|allions|alloient|alloit|allons|allèrent|aloe|aloent|aloie|aloient|aloies|aloit|alomes|alon|alons|alot|alt|alum|aluns|alés|aléz|aut|eroiz|ira|irai|iras|irat|iray|ireit|ireiz|irez|iriens|iriez|irions|iroie|iroient|iroit|iroiz|irons|iront|iroys|irra|irrai|irreit|irrunt|irum|irums|irunt|iré|irés|uas|uois|uont|va|vai|vait|valt|van|vant|vas|vat|veit|vet|vois|voise|voisent|voises|voisse|voissent|voist|vont|vunt|yra|yrai|yroie|yroient|yroit|yrons
aller	VERppe	aled|alee|alees|alei|aleie|aleit|aleiz|alet|alez|allez|allé|alléz|alé|alée|alés|alét|aléz|iriez
aller	VERinf	aleir|aler|alers|allar|aller
aller	VERppa	alant|alanz|allans|allant
alleu	NOMcom	aluet|alué
alliance	NOMcom	aliance|aliances|alliance|alliances
allier	VERppe	alieez|aliez|alié|alliez|alliéz|allyé|alïez|alïés
allier	VERcjg	alient|allia|alliez|alïent
alloir	NOMcom	aleoirs
allongement	NOMcom	alongement|aslongement
allouer	VERppe	aloweiz|aluee|alöét|alüez
allouer	VERcjg	aloerent
allouer	VERinf	allouer|aloer
allumer	VERppe	alumee|alumez|alumé|alumés
allumer	VERcjg	aluma|alumast|alume|alument|alumeroient
allumer	VERinf	alumer
allure	NOMcom	aleure|aleures|aleüre
Almace	NOMpro	almace
Almarie	NOMpro	aumarie
Almaris	NOMpro	almaris
Alni	NOMpro	alni
aloès	NOMcom	aloé|aloén
aloger	VERinf	alogier
aloigne	NOMcom	aloigne
aloigner	VERcjg	aloigne|aloingna
aloigner	VERppe	aloigniees|aloignié
alors	ADVgen	alors
aloser	VERinf	aloser
aloser	VERcjg	alose|alosez
aloser	VERppe	alosez
aloue	NOMcom	aloe
alouette	NOMcom	aloete
Alpes	NOMpro	alpes
alpha	NOMcom	alpha
Alphaïen	NOMpro	alphaïen
alquant	PROind	alcanz|alkanz|alquant|alquanz|aquant|auquant|esquanz
alquant	DETind	alquantes
Alsis	NOMpro	alsis
altercation	NOMcom	altercations
altérer	VERppe	alterez
alue	NOMcom	alue
aluec	ADVgen	alec|allo|alo|alués
alumelle	NOMcom	alemele
amaladir	VERppe	amaladis
amanevir	VERcjg	amanvet
amaniéré	ADJqua	amanieree
amant	NOMcom	amans|amant|amanz
Amant	NOMpro	amant|amanz
amasser	VERppe	amassee|amassees|amassez|amassé
amasser	VERcjg	amassa|amasse|amassent|amasseray|amasserent
amasser	VERinf	amasser
amatir	VERppe	amaties
Amaugin	NOMpro	amauguins
