tel	Adj	itel|itele|iteles|itels|itey|ités|tal|tals|taux|teil|teile|teille|teilz|tel|tele|teles|telle|telles|tellez|tellëz|tels|telx|telz|tes|teu|teuls|teus|tex|tez|tiel|tieu|tieulx|tieulz|tieuz|tiex|tés
cas	N	cas
advenir	Vinf	advenir|avenir
onques	Adv	ainc|ainques|ains|ainz|anc|einz|enz|hanc|honques|onc|onches|oncq|oncques|onkes|onq|onqes|onqez|onqiez|onques|onquez|onquëz|unc|unces|unches|unkes|unque|unques
trop	Adv	trop
peu	Adv	pau|peu|po|poc|poi|pol|pou|poul|poy
donc	Adv	den|don|donc|donch|donches|doncq|doncques|donques|dont|dun|dunc|duncques|dune|dunkes|dunques|dunt|idunc|idune
dire	Vfin	deisse|deissent|deist|deistes|desist|deïs|deïssant|deïssent|deïssiéz|deïst|di|dic|dicen|dict|dictes|dictz|didrai|die|dient|diez|dira|dirai|diran|diray|direi|dirent|direz|dirienz|diriez|diroie|diroient|diroit|diroiz|diron|dirons|diront|diroy|diroye|dirrai|dirras|dirrat|dirum|diré|dirés|dis|dise|diseient|diseit|disent|disist|disoie|disoient|disoies|disoit|disommez|dison|disons|disoye|disoyent|dissent|dissest|dissoient|dist|distrent|dit|dites|ditrai|dittes|ditëz|diz|dizen|dy|dye|dï|dïent
à.le	Pre+Det	al|als|alz|as|au|aulx|aus|aux|auz|az|o
leur	Det	leur|leurs|lor|lour|lur
discord	N	decort|descors|descort
mot	N	mos|mot|mots|motz|moz
sicomme	Sub	sicom|sicomme|sicum
recort	N	recort
dit	N	dictz|dis|dit|dix|diz
me	Prn	m|m'|me
accorder	Vfin	accord|accorda|accorderay|accorderent|accordez|acorde|acordent|acorderent|acordez|acordoit|acordéz|acort
